R                       Z                        T
0.135                     0                        309.5373440364694
0.135                     4.081632653061224E-4     309.5384860700832
0.135                     8.163265306122448E-4     309.5419138259599
0.135                     0.0012244897959183673    309.54763311817163
0.135                     0.0016326530612244896    309.5556494871115
0.135                     0.002040816326530612     309.56597652117546
0.135                     0.0024489795918367346    309.57862634343365
0.135                     0.002857142857142857     309.59361612603107
0.135                     0.0032653061224489793    309.6109699219939
0.135                     0.003673469387755102     309.63070534478754
0.135                     0.004081632653061224     309.65285652290896
0.135                     0.004489795918367346     309.6774477894925
0.135                     0.004897959183673469     309.7045150196607
0.135                     0.005306122448979591     309.7340995435516
0.135                     0.005714285714285714     309.76623282927295
0.135                     0.0061224489795918356    309.80097099521413
0.135                     0.0065306122448979586    309.83835043336757
0.135                     0.0069387755102040816    309.8784292038323
0.135                     0.007346938775510204     309.92126518687445
0.135                     0.007755102040816327     309.9669071463825
0.135                     0.008163265306122448     310.0154347677231
0.135                     0.008571428571428572     310.0668976315907
0.135                     0.008979591836734692     310.1213803783667
0.135                     0.009387755102040816     310.1789567749276
0.135                     0.009795918367346938     310.2396983820251
0.135                     0.010204081632653062     310.3037102955271
0.135                     0.010612244897959184     310.37105802105947
0.135                     0.011020408163265308     310.4418583538149
0.135                     0.011428571428571429     310.5162008784651
0.135                     0.01183673469387755      310.59418782749077
0.135                     0.012244897959183675     310.67595224617617
0.135                     0.012653061224489797     310.7615805497381
0.135                     0.01306122448979592      310.8512286251979
0.135                     0.013469387755102043     310.94500472436937
0.135                     0.013877551020408165     311.0430514530743
0.135                     0.014285714285714287     311.1455344304872
0.135                     0.01469387755102041      311.2525696461995
0.135                     0.01510204081632653      311.36436245006166
0.135                     0.015510204081632653     311.4810461184488
0.135                     0.015918367346938776     311.60281892404794
0.135                     0.0163265306122449       311.72988793060813
0.135                     0.016734693877551023     311.8624148513993
0.135                     0.017142857142857144     312.000673485213
0.135                     0.017551020408163264     312.1448368405057
0.135                     0.017959183673469388     312.2951891600341
0.135                     0.018367346938775512     312.4520011468904
0.135                     0.018775510204081632     312.6155203958882
0.135                     0.019183673469387756     312.78614839812155
0.135                     0.019591836734693877     312.96413707261723
0.135                     0.02                     313.15
0.13570408163265307       0                        309.53395250236906
0.13570408163265307       4.081632653061224E-4     309.53509267946197
0.13570408163265307       8.163265306122448E-4     309.53851325766067
0.13570408163265307       0.0012244897959183673    309.54422033954523
0.13570408163265307       0.0016326530612244896    309.5522212606171
0.13570408163265307       0.002040816326530612     309.5625262994765
0.13570408163265307       0.0024489795918367346    309.57515141652004
0.13570408163265307       0.002857142857142857     309.5901108980867
0.13570408163265307       0.0032653061224489793    309.60742802744085
0.13570408163265307       0.003673469387755102     309.6271244217136
0.13570408163265307       0.004081632653061224     309.6492289492366
0.13570408163265307       0.004489795918367346     309.67377169136455
0.13570408163265307       0.004897959183673469     309.7007841385897
0.13570408163265307       0.005306122448979591     309.73030655430375
0.13570408163265307       0.005714285714285714     309.76237590077784
0.13570408163265307       0.0061224489795918356    309.79703989152256
0.13570408163265307       0.0065306122448979586    309.8343449932152
0.13570408163265307       0.0069387755102040816    309.87434195032245
0.13570408163265307       0.007346938775510204     309.917088880477
0.13570408163265307       0.007755102040816327     309.96263876574244
0.13570408163265307       0.008163265306122448     310.011061273512
0.13570408163265307       0.008571428571428572     310.0624205426852
0.13570408163265307       0.008979591836734692     310.1167902191518
0.13570408163265307       0.009387755102040816     310.1742474232476
0.13570408163265307       0.009795918367346938     310.2348643814333
0.13570408163265307       0.010204081632653062     310.2987355239441
0.13570408163265307       0.010612244897959184     310.3659450024024
0.13570408163265307       0.011020408163265308     310.4365946758167
0.13570408163265307       0.011428571428571429     310.51078192475774
0.13570408163265307       0.01183673469387755      310.5886056683527
0.13570408163265307       0.012244897959183675     310.6701868809194
0.13570408163265307       0.012653061224489797     310.75563525294467
0.13570408163265307       0.01306122448979592      310.84508466819517
0.13570408163265307       0.013469387755102043     310.93866034871826
0.13570408163265307       0.013877551020408165     311.0364945355596
0.13570408163265307       0.014285714285714287     311.13874132547943
0.13570408163265307       0.01469387755102041      311.24554284091823
0.13570408163265307       0.01510204081632653      311.3570722382844
0.13570408163265307       0.015510204081632653     311.47349442950065
0.13570408163265307       0.015918367346938776     311.5949860958982
0.13570408163265307       0.0163265306122449       311.7217476122982
0.13570408163265307       0.016734693877551023     311.85396068880294
0.13570408163265307       0.017142857142857144     311.9918635455581
0.13570408163265307       0.017551020408163264     312.1356616378609
0.13570408163265307       0.017959183673469388     312.2856275761219
0.13570408163265307       0.018367346938775512     312.44199486663734
0.13570408163265307       0.018775510204081632     312.6050666670097
0.13570408163265307       0.019183673469387756     312.7751559208068
0.13570408163265307       0.019591836734693877     312.9525408969178
0.13570408163265307       0.02                     313.13767366930443
0.13640816326530614       0                        309.52381584510397
0.13640816326530614       4.081632653061224E-4     309.52494910778603
0.13640816326530614       8.163265306122448E-4     309.52834928452324
