R                       Z                        T
0.135                     0                        309.5373440364694
0.135                     1.0050251E-4             309.53741312877867
0.135                     2.0100502E-4             309.5376208008841
0.135                     3.015075E-4              309.5379670526619
0.135                     4.0201005E-4             309.5384518845391
0.135                     5.0251256E-4             309.5390752960472
0.135                     6.03015E-4               309.5398372867725
0.135                     7.035176E-4              309.54073782292056
0.135                     8.040201E-4              309.5417770176295
0.135                     9.045226E-4              309.54295532447236
0.135                     0.0010050251             309.54427274344914
0.135                     0.0011055276             309.5457292745599
0.135                     0.00120603               309.5473249161478
0.135                     0.0013065326             309.54905967318325
0.135                     0.0014070352             309.55093349134324
0.135                     0.0015075377             309.5529469824929
0.135                     0.0016080402             309.55510067880584
0.135                     0.0017085427             309.5573945802821
0.135                     0.0018090452             309.55982868692143
0.135                     0.0019095477             309.5624029987241
0.135                     0.0020100502             309.5651175156901
0.135                     0.0021105527             309.56797222699095
0.135                     0.0022110553             309.57096828669034
0.135                     0.0023115578             309.5741061832864
0.135                     0.00241206               309.577385909688
0.135                     0.0025125628             309.5808074959003
0.135                     0.0026130653             309.584370911918
0.135                     0.0027135678             309.5880761677429
0.135                     0.0028140703             309.5919233898628
0.135                     0.0029145728             309.5959142536709
0.135                     0.0030150753             309.6000491472503
0.135                     0.0031155779             309.60432807493015
0.135                     0.0032160804             309.60875102819546
0.135                     0.0033165826             309.6133179973847
0.135                     0.0034170854             309.6180290240399
0.135                     0.0035175877             309.62288444957716
0.135                     0.0036180904             309.62788642945173
0.135                     0.0037185927             309.6330351747331
0.135                     0.0038190954             309.6383307264052
0.135                     0.0039195977             309.64377304231556
0.135                     0.0040201005             309.6493621714195
0.135                     0.0041206027             309.655098052325
0.135                     0.0042211055             309.66098157258455
0.135                     0.0043216078             309.66701506712843
0.135                     0.0044221105             309.6731987066299
0.135                     0.004522613              309.67953245462087
0.135                     0.0046231155             309.6860163232575
0.135                     0.004723618              309.6926503125397
0.135                     0.00482412               309.6994343883431
0.135                     0.004924623              309.70637009854363
0.135                     0.0050251256             309.71345981564
0.135                     0.005125628              309.72070356848667
0.135                     0.0052261306             309.7281013859141
0.135                     0.005326633              309.7356532384789
0.135                     0.0054271356             309.7433591562374
0.135                     0.005527638              309.7512190905642
0.135                     0.0056281406             309.75923544157
0.135                     0.005728643              309.76741036949693
0.135                     0.0058291457             309.7757439152518
0.135                     0.005929648              309.784236020555
0.135                     0.0060301507             309.79288675300376
0.135                     0.006130653              309.80169604373833
0.135                     0.0062311557             309.81066401223575
0.135                     0.006331658              309.8197939073918
0.135                     0.0064321607             309.829087611213
0.135                     0.006532663              309.8385450497214
0.135                     0.0066331653             309.84816625958007
0.135                     0.0067336685             309.85795132914694
0.135                     0.006834171              309.86790010313376
0.135                     0.006934673              309.8780128533731
0.135                     0.0070351753             309.88829385016106
0.135                     0.0071356785             309.8987445533017
0.135                     0.007236181              309.90936479692726
0.135                     0.007336683              309.9201545991344
0.135                     0.0074371854             309.931114056293
0.135                     0.0075376886             309.94224321505953
0.135                     0.007638191              309.95354253744404
0.135                     0.007738693              309.96501697813653
0.135                     0.007839195              309.97666756190114
0.135                     0.007939698              309.98849440729055
0.135                     0.008040201              310.00049739925737
0.135                     0.008140704              310.0126765378014
0.135                     0.0082412055             310.0250316372066
0.135                     0.008341708              310.03756425004826
0.135                     0.008442211              310.05027973401553
0.135                     0.008542714              310.0631786224967
0.135                     0.0086432155             310.076260718871
0.135                     0.008743718              310.0895263471901
0.135                     0.008844221              310.1029754455633
0.135                     0.008944724              310.1166079484507
0.135                     0.009045226              310.130425844467
0.135                     0.009145728              310.1444348891416
0.135                     0.009246231              310.1586354998049
0.135                     0.009346734              310.1730275380186
0.135                     0.009447236              310.1876108577254
0.135                     0.009547738              310.20238560117326
0.135                     0.00964824               310.217351768362
0.135                     0.009748744              310.23251299968797
0.135                     0.009849246              310.2478741308292
0.135                     0.009949748              310.26343551893376
0.135                     0.010050251              310.2791973218269
0.135                     0.010150754              310.29515938566874
0.135                     0.010251256              310.3113215486483
0.135                     0.010351759              310.32768411679496
0.135                     0.010452261              310.3442517517386
0.135                     0.010552764              310.3610295073883
0.135                     0.010653267              310.3780172199398
0.135                     0.0107537685             310.3952146311524
0.135                     0.010854271              310.41262216724914
0.135                     0.010954773              310.4302395699893
0.135                     0.011055276              310.4480672074756
0.135                     0.0111557795             310.4661116972703
0.135                     0.011256282              310.4843765822793
0.135                     0.011356784              310.5028619484326
0.135                     0.011457286              310.52156788604907
0.135                     0.011557789              310.54049458454597
0.135                     0.011658291              310.5596416672837
0.135                     0.011758794              310.57900998477135
0.135                     0.011859296              310.59860738230003
0.135                     0.011959798              310.61843696344704
0.135                     0.012060301              310.6384989289831
0.135                     0.012160804              310.65879308275817
0.135                     0.012261307              310.679319424772
0.135                     0.012361809              310.70007774732335
0.135                     0.0124623105             310.7210692938103
0.135                     0.012562813              310.74230386805016
0.135                     0.012663316              310.76378342420765
0.135                     0.01276382               310.7855080746255
0.135                     0.0128643215             310.8074770572715
0.135                     0.012964824              310.82969113174124
0.135                     0.013065326              310.85214996831684
0.135                     0.013165829              310.87485611068126
0.135                     0.0132663315             310.89781959753896
0.135                     0.013366835              310.9210420542757
0.135                     0.013467337              310.9445229013075
0.135                     0.013567839              310.96826248329575
0.135                     0.013668342              310.99226104031175
0.135                     0.013768844              311.0165180947869
0.135                     0.013869347              311.0410378736282
0.135                     0.013969849              311.06583066380836
0.135                     0.014070351              311.09089734592374
0.135                     0.014170853              311.1162379199745
0.135                     0.014271357              311.14185289841623
0.135                     0.01437186               311.1677415207413
0.135                     0.014472362              311.1939037787737
0.135                     0.0145728635             311.22034566659426
0.135                     0.014673366              311.24707812649245
0.135                     0.014773869              311.2741012131054
0.135                     0.014874372              311.3014147941618
0.135                     0.0149748735             311.329018455505
0.135                     0.015075377              311.35691316061
0.135                     0.015175879              311.38509791748504
0.135                     0.015276382              311.4135822343535
0.135                     0.0153768845             311.44237511999165
0.135                     0.015477386              311.47147642424335
0.135                     0.015577889              311.50088687331487
0.135                     0.01567839               311.5306054406884
0.135                     0.015778894              311.56063360949247
0.135                     0.015879396              311.59097000910924
0.135                     0.0159799                311.6216280695178
0.135                     0.016080402              311.6526143102185
0.135                     0.016180903              311.68392902480457
0.135                     0.016281407              311.7155734694347
0.135                     0.01638191               311.747546394493
0.135                     0.016482413              311.7798481132014
0.135                     0.016582914              311.81247872460966
0.135                     0.016683416              311.8454546927502
0.135                     0.01678392               311.87878236263987
0.135                     0.016884422              311.91246040785705
0.135                     0.016984925              311.94648982845723
0.135                     0.017085427              311.98086994725827
0.135                     0.01718593               312.015601448428
0.135                     0.017286431              312.050685269871
0.135                     0.017386934              312.0861413423602
0.135                     0.017487437              312.12197342123596
0.135                     0.01758794               312.1581815064982
0.135                     0.017688442              312.1947652322665
0.135                     0.017788945              312.23172532656065
0.135                     0.017889448              312.2690614272415
0.135                     0.01798995               312.30677675494974
0.135                     0.018090451              312.3448928523247
0.135                     0.018190954              312.38341422247527
0.135                     0.018291457              312.4223401109048
0.135                     0.01839196               312.46167051761336
0.135                     0.018492462              312.50140504522767
0.135                     0.018592965              312.5415444844691
0.135                     0.018693468              312.58209522933066
0.135                     0.01879397               312.62308138968217
0.135                     0.018894471              312.6645049622352
0.135                     0.018994974              312.7063671900366
0.135                     0.019095477              312.7486672531014
0.135                     0.01919598               312.79140515142944
0.135                     0.019296482              312.83458045324625
0.135                     0.019396985              312.8782014932451
0.135                     0.019497488              312.922300999256
0.135                     0.01959799               312.96688025037116
0.135                     0.019698491              313.01193923225753
0.135                     0.019798994              313.0574792971124
0.135                     0.019899497              313.1034995530265
0.135                     0.02                     313.15
0.13517337                0                        309.53713764799625
0.13517337                1.0050251E-4             309.5372070497092
0.13517337                2.0100502E-4             309.5374148367113
0.13517337                3.015075E-4              309.5377609763939
0.13517337                4.0201005E-4             309.5382456961759
0.13517337                5.0251256E-4             309.5388689955888
0.13517337                6.03015E-4               309.53963087421903
0.13517337                7.035176E-4              309.5405315614494
