R                       Z                        solid.sr           solid.sz         solid.srz         solid.sphi        u                  w
0.135                     0                        -9.999769871774944       -10.841048723340847      -2.6618290831737526E-4   35.31870318262951        15.527838894443235       0
0.135                     4.081632653061224E-4     -9.999957967205424       -10.841345357653456      5.349059041810524E-5     35.31594702132849        15.527777701952576       -0.004191000138323246
0.135                     8.163265306122448E-4     -9.999957438750082       -10.840958559803981      2.7882121337023242E-5    35.30852616613316        15.527594376973756       -0.008376612203131377
0.135                     0.0012244897959183673    -9.999959930227844       -10.840337184828428      -1.1921503095982556E-5   35.29634429671533        15.527288920378835       -0.012551631800936798
0.135                     0.0016326530612244896    -9.999966733487838       -10.839452348543185      -4.782391185095963E-5    35.279394483931895       15.526861323201809       -0.016710759077653046
0.135                     0.002040816326530612     -9.999974844130264       -10.83830805379132       -8.339352426242727E-5    35.25766182159058        15.526311605532324       -0.02084867672295983
0.135                     0.0024489795918367346    -9.999956214082536       -10.836869492290242      7.156535147319237E-5     35.23080154004295        15.525639720522829       -0.024960024816313365
0.135                     0.002857142857142857     -9.999958591393726       -10.835110535845367      3.66692016905972E-5      35.19884951479238        15.524845703584104       -0.029039334154757214
0.135                     0.0032653061224489793    -9.999963115489825       -10.833032925806195      6.381971153403513E-7     35.162046198587085       15.523929640689367       -0.03308115301398809
0.135                     0.003673469387755102     -9.999969978581568       -10.830612991154249      -3.662561339100222E-5    35.120362217618265       15.522891576896775       -0.037079982618916874
0.135                     0.004081632653061224     -9.999979488667506       -10.827823842026717      -7.545967475132344E-5    35.073764380205866       15.521731571110632       -0.041030258080083655
0.135                     0.004489795918367346     -9.999956831739489       -10.824620654818874      9.208829604301367E-5     35.02215274659651        15.520449684284893       -0.04492633881204562
0.135                     0.004897959183673469     -9.999961122258739       -10.820925465799608      5.324910016119809E-5     34.964988604394485       15.519045910239534       -0.04876242930311495
0.135                     0.005306122448979591     -9.99996832739941        -10.816750807614838      1.2401624174039815E-5    34.90277608492994        15.517520484116622       -0.05253266207768199
0.135                     0.005714285714285714     -9.999978530017039       -10.812055408649757      -3.069141858240313E-5    34.835464914767414       15.515873554738748       -0.05623111290459103
0.135                     0.0061224489795918356    -9.999991822611653       -10.806794611024545      -7.627501344458884E-5    34.76300065463381        15.514105304597651       -0.05985174570623243
0.135                     0.0065306122448979586    -10.00000830684022       -10.800920332670076      -1.2459439688247494E-4   34.68532461103714        15.512215955515629       -0.06338840315247732
0.135                     0.0069387755102040816    -9.999962795350056       -10.794283701084547      7.288001825098263E-5     34.60194211073126        15.510205678994637       -0.06683476591474079
0.135                     0.007346938775510204     -9.999974053730314       -10.786903355544197      2.428718678293933E-5     34.512969828320685       15.508074846083387       -0.07018430576094442
0.135                     0.007755102040816327     -9.999988755458          -10.778729419817845      -2.756941122078252E-5    34.418564425852395       15.505823889161032       -0.07343042812043282
0.135                     0.008163265306122448     -10.000007047727548      -10.769699030234609      -8.295144967425668E-5    34.31864748698883        15.503453262554912       -0.0765663834198086
0.135                     0.008571428571428572     -10.000029093293564      -10.759746059624408      -1.4211629881255453E-4   34.213135663074794       15.50096350063114        -0.07958525035008585
