R                       Z                        solid.sr        solid.sz          solid.srz          solid.sphi      u            w
0.135                     0                        -9.999874025145049       1.7763395032845437E-5    -2.1361977793402243E-5   44.69695735444814        14.8168726814228         0
0.135                     4.081632653061224E-4     -9.9999473446259         8.358276408165692E-6     3.4353720767814375E-6    44.6969457881937         14.816872686305135       -0.00472067157975777
0.135                     8.163265306122448E-4     -9.999938960470654       9.489675102755427E-6     1.9729956364503194E-6    44.6969471244238         14.81687268760774        -0.009441343315571796
0.135                     0.0012244897959183673    -9.999935842921067       1.0337025879882275E-5    -1.2382283479336775E-6   44.69694768053693        14.81687268793787        -0.014162015205087869
0.135                     0.0016326530612244896    -9.99993507573753        1.0632208791561423E-5    -4.99814633722621E-6     44.696947825850195       14.816872686839217       -0.018882686976028563
0.135                     0.002040816326530612     -9.999934420284903       1.0753256108611822E-5    -8.913017198440874E-6    44.696947926394564       14.816872684214552       -0.023603358712217692
0.135                     0.0024489795918367346    -9.999933719395646       1.0729127699509262E-5    8.462043846183323E-6     44.69694802229082        14.816872684584105       -0.028324030472158934
0.135                     0.002857142857142857     -9.999933509472077       1.0780610631220042E-5    4.554506431271893E-6     44.69694806655144        14.816872687047448       -0.0330447022325902
0.135                     0.0032653061224489793    -9.999933398962462       1.0817996903322636E-5    6.461130127101668E-7     44.69694809030002        14.816872688025605       -0.03776537399104526
0.135                     0.003673469387755102     -9.999933364217142       1.0828838657587767E-5    -3.276899018839438E-6    44.696948095116774       14.816872687522428       -0.042486045744393734
0.135                     0.004081632653061224     -9.999933355523865       1.0829367231577634E-5    -7.204801105335586E-6    44.696948090230975       14.816872685537009       -0.0472067174971261
0.135                     0.004489795918367346     -9.999933355405926       1.0828576839528977E-5    1.026061245659454E-5     44.696948082137204       14.8168726829657         -0.05192738924969815
0.135                     0.004897959183673469     -9.999933353790556       1.0830074512399732E-5    6.331110847168294E-6     44.69694809230278        14.81687268609312        -0.0566480610019863
0.135                     0.005306122448979591     -9.999933352913196       1.0826964114792644E-5    2.401210099411609E-6     44.696948097100375       14.816872687735689       -0.06136873275588994
0.135                     0.005714285714285714     -9.999933352778365       1.0826565188355743E-5    -1.5279038931155114E-6   44.69694809755684        14.816872687894296       -0.06608940451226206
0.135                     0.0061224489795918356    -9.999933353727007       1.0826448505744338E-5    -5.458131330557685E-6    44.696948093281705       14.816872686568086       -0.07081007626902577
0.135                     0.0065306122448979586    -9.999933354859778       1.0825907491147518E-5    -9.387108121624203E-6    44.69694808430487        14.816872683757998       -0.07553074802463194
0.135                     0.0069387755102040816    -9.999933354452086       1.0831482878886162E-5    8.077489181224742E-6     44.69694808854232        14.816872684850793       -0.08025141977603388
0.135                     0.007346938775510204     -9.99993335318002        1.0828688933514058E-5    4.147666479618785E-6     44.69694809548889        14.816872687152102       -0.08497209152768359
0.135                     0.007755102040816327     -9.999933352879422       1.082854778971523E-5     2.1862245700614327E-7    44.69694809805821        14.816872687970779       -0.0896927632822952
0.135                     0.008163265306122448     -9.999933353066496       1.0831480351276696E-5    -3.7113583753083476E-6   44.69694809637585        14.816872687306475       -0.09441343503549282
0.135                     0.008571428571428572     -9.999933354256225       1.0826474755071103E-5    -7.640764217049705E-6    44.696948088818935       14.816872685156254       -0.09913410678978195
0.135                     0.008979591836734692     -9.999933355298639       1.0828643823042512E-5    9.824078810592205E-6     44.6969480832529         14.816872683316472       -0.1038547785425337
0.135                     0.009387755102040816     -9.999933353584085       1.0826651425100862E-5    5.894126559665873E-6     44.696948092412825       14.81687268627324        -0.10857545029578446
